Aliment,EnergieUE (kcal/100g),Protéines (g/100g),Eau (g/100g),Glucides (g/100g),Lipides (g/100g),Sucres (g/100g),Amidon (g/100g),Fibres alimentaires (g/100g),Polyols totaux (g/100g),Cendres (g/100g),Alcool (g/100g),Acides organiques (g/100g),AG saturés (g/100g),AG monoinsaturés (g/100g),AG polyinsaturés (g/100g),"AG 4:0, butyrique (g/100g)","AG 6:0, caproïque (g/100g)","AG 8:0, caprylique (g/100g)","AG 10:0, caprique (g/100g)","AG 12:0, laurique (g/100g)","AG 14:0, myristique (g/100g)","AG 16:0, palmitique (g/100g)","AG 18:0, stéarique (g/100g)","AG 18:1 9c (n-9), oléique (g/100g)","AG 18:2 9c,12c (n-6), linoléique (g/100g)","AG 18:3 c9,c12,c15 (n-3), alpha-linolénique (g/100g)","AG 20:4 5c,8c,11c,14c (n-6), arachidonique (g/100g)","AG 20:5 5c,8c,11c,14c,17c (n-3) EPA (g/100g)","AG 22:6 4c,7c,10c,13c,16c,19c (n-3) DHA (g/100g)",Cholestérol (mg/100g),Sel chlorure de sodium (g/100g),Calcium (mg/100g),Chlorure (mg/100g),Cuivre (mg/100g),Fer (mg/100g),Iode (µg/100g),Magnésium (mg/100g),Manganèse (mg/100g),Phosphore (mg/100g),Potassium (mg/100g),Sélénium (µg/100g),Sodium (mg/100g),Zinc (mg/100g),Rétinol (µg/100g),Beta-Carotène (µg/100g),Vitamine D (µg/100g),Vitamine E (mg/100g),Vitamine K1 (µg/100g),Vitamine K2 (µg/100g),Vitamine C (mg/100g),Vitamine B1 ou Thiamine (mg/100g),Vitamine B2 ou Riboflavine (mg/100g),Vitamine B3 ou PP ou Niacine (mg/100g),Vitamine B5 ou Acide pantothénique (mg/100g),Vitamine B6 (mg/100g),Vitamine B9 ou Folates totaux (µg/100g),Vitamine B12 (µg/100g)
"Chocolat noir à 70% cacao minimum, extra, dégustation, tablette","548,16","8,44","0,59",35,"41,6","27,6","5,3","11,9",0,"2,39",0,0,"26,2","13,6","1,14","0,037","< 0,04","< 0,04","0,037","0,04","0,17","9,59","16,3","7,05","1,04","0,093","< 0,04",-,"0,0092","2,64","0,024",61,-,"1,4","4,18",10,178,"1,1",265,727,< 5,"9,39","2,85",-,32,-,"0,74",-,-,"< 0,28","0,18","0,29","0,87","0,26","0,37",35,"0,27"
"Chocolat noir à moins de 70% de cacao, à croquer, tablette","502,32","6,63","0,7","42,9","33,8","38,3","4,6",12,0,"1,61",0,0,"22,5","9,37","0,94","< 0,02","< 0,01","< 0,01","0,02","0,03","0,09","7,48","9,95","9,03","0,88","0,06","< 0,01","< 0,01","< 0,01","1,45","0,023","53,7","10,6",1,"3,7",< 20,120,"1,2",218,490,< 20,"7,73",2,< 21,"21,3","< 0,25","0,72","< 0,8","1,5","0,15","0,15","0,065","0,5","0,22","0,14","22,3",0
"Chocolat noir aux fruits (orange, framboise, poire), tablette","518,00","6,8","1,2","45,3","34,4","35,7",-,"10,3",0,"1,97",0,0,"22,5","9,31","1,09","0,023","0,016","0,016","0,02","0,038","0,11","7,76","10,3","9,31","1,03","0,055","< 0,018","< 0,018","< 0,011","2,4","0,078",76,-,-,4,-,102,-,-,-,-,"31,3",-,-,-,-,-,-,-,"0,5",-,-,-,-,-,-,-
"Chocolat noir aux fruits secs (noisettes, amandes, raisins, praline), tablette","545,68","7,72","0,51","42,3","38,4","36,3",-,"9,41",0,"2,11",0,0,18,"15,8","2,26","0,073","0,037","0,037","0,073","0,047","0,17","7,08","8,01","15,8","2,22","0,047",-,-,"< 0,01","0,88","0,038","63,5",-,"0,7","3,2",-,146,1,210,500,"2,8","15,4","1,5",0,54,"2,24","3,96",-,-,"< 0,1","0,1","0,1","0,62","0,5","0,23","33,5",0
Chocolat noir fourrage confiseur à la menthe,"486,36","4,24","6,2","57,5","26,6","49,5",-,"6,7",0,"0,55",0,0,"18,4","3,45","3,5","0,012","0,01","0,01","0,02","0,03","0,09","3,22","4,26","3,45","0,39","0,02","< 0,01","< 0,01","< 0,01","3,22","0,03",14,"< 3,6","0,4",3,< 20,48,"0,43",70,150,< 20,12,"0,7",< 21,"17,8",-,"0,33","< 0,8",-,"< 0,5","0,042","0,03","1,46","0,16","0,032","13,9","0,14"
"Chocolat noir fourré praliné, tablette","548,32","6,38","0,5","52,4","34,8","48,8","1,5","5,07",0,"1,34",0,0,"16,9","14,3","2,06","0,1","0,067","0,033","0,067","0,13","0,3","7,52","8,22","13,8",2,"0,067","< 0,017","< 0,017","< 0,017","7,92","0,039",70,"29,6","0,84","6,1",< 20,110,"1,4",180,400,< 50,"13,7","1,7",< 21,"26,8","< 0,5","4,21","2,25",-,"< 0,5","0,11","0,08","0,76","0,85","0,05","32,2","0,32"
"Chocolat noir sans sucres ajoutés, avec édulcorants, en tablette","551,02","8,48","0,6","34,1","42,3",2,-,"10,2","28,9","1,25",0,0,"26,6","12,9","2,17",-,-,-,-,-,-,-,-,-,-,-,-,-,-,"3,3","0,0063","45,6",-,"1,7","22,8",50,152,"1,39",225,793,< 10,"1,7","2,51",0,32,0,"0,74",-,-,0,"0,18","0,29","0,87","0,26","0,37",35,"0,27"
"Chocolat, en tablette (aliment moyen)","539,12","7,43","0,7","45,9","36,2","39,9","3,53","7,3","0,66","1,93",0,0,"22,5","10,8","1,22","0,096","0,051","0,045","0,088","0,18","0,39","8,22","10,9","8,88","1,1","0,079","0,0075","0,0034","0,005","8,54","0,13",132,,"0,77","3,31","21,2",106,"0,79",239,582,"6,23","52,1","1,67","50,8","18,8","0,16","0,85",,,"0,16","0,13","0,32","0,56","0,34","0,16","20,4","0,3"
Chop suey (porc ou poulet),"78,20",5,-,"7,8",3,-,-,0,0,-,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Chorizo,"423,86","23,5",34,"1,24","36,1","1,24",-,"0,93",0,"4,24",0,0,"14,3","16,3",-,-,-,-,"0,035","0,037","0,51","8,51","4,25","15,3","5,3","0,29","0,14",-,-,-,"4,24",-,-,-,-,7,-,-,-,-,-,1690,-,-,663,-,-,-,-,-,-,-,-,-,-,-,-
"Chorizo supérieur, doux ou fort, type charcuterie en tranches","305,50","22,6","43,6",0,"23,9","2,1",-,0,0,"5,48",0,"2,63","8,8","10,2","3,79","< 0,01","< 0,01","< 0,01","0,02","0,03","0,33","5,45","2,83","8,79","3,28","0,21","0,07","< 0,01","< 0,01",75,"4,3",28,2380,"0,1","1,4",< 20,30,"0,23",300,650,< 20,1720,"2,7",< 21,-,"0,73","1,6",-,-,-,"0,35","0,21","4,92","1,19","0,32","49,1","0,82"
"Chorizo supérieur, doux ou fort, type saucisse sèche","460,70","20,9",28,0,"41,9","2,6",-,0,0,"5,13",0,"1,69",16,"18,1","5,76","< 0,01","< 0,01","< 0,01","0,04","0,04","0,58","9,83","5,3","15,6","4,91","0,35","0,1","< 0,01","< 0,01",111,"3,91",24,2480,"0,11","1,8",30,27,"0,27",220,490,< 20,1560,2,< 21,-,"0,83","2,25",-,-,-,"0,39","0,22","6,14","1,24","0,27","51,4","1,11"
Chou à la crème (chantilly ou pâtissière),"292,38","4,47","46,3","30,6","16,9","23,1","7,5",1,-,"0,82",0,0,"7,37","5,04","1,16",-,-,-,-,-,-,-,-,-,-,-,-,-,-,"92,5","0,31","71,6",216,< 1,< 1,< 10,"9,6",< 1,"75,5",104,"18,4",124,< 1,114,< 50,"< 0,2","1,08",-,-,0,"< 0,05","0,065","< 0,05","0,37","< 0,05",51,"0,61"
Chou à la crème chantilly,"347,72","4,63","44,3","22,9","26,4","8,9","6,9",1,-,"0,83",0,0,"13,6","5,82","1,07","0,65","0,4","0,25","0,52","0,74","2,06","6,56","2,04","4,94",-,"0,12","0,041","0,0092",-,122,"0,37","71,6",230,< 1,< 1,< 10,"9,2",< 1,75,108,"27,2",149,< 1,211,< 50,"< 0,2","1,4",-,-,-,"< 0,05","0,08","< 0,05","0,36","< 0,05","50,8","0,65"
Chou à la crème pâtissière,"222,54","4,31","51,7","34,9","7,3","13,5","8,1",1,-,"0,8",0,0,"3,38","1,98","0,54","0,099","0,062","0,062","0,093","0,28","0,38","1,77","0,55","1,77","0,51","0,022","0,0084","0,00059",-,63,"0,25","71,6",201,< 1,< 1,< 10,10,< 1,76,"99,5","9,6","99,5",< 1,17,< 50,"< 0,2","0,76",-,-,-,"< 0,05","0,05","< 0,05","0,37","< 0,05","51,2","0,57"
"Chou blanc, cru","23,80","1,25","90,5","4,25","0,2",-,-,"2,3",-,"0,6",0,-,"0,041","0,004","0,12",-,-,-,-,-,-,"0,037","0,004",-,"0,031","0,084",0,-,-,0,"0,024","50,9",-,"0,019","0,31","0,7","10,9","0,24","30,1",240,"0,77",6,"0,15",0,-,0,"0,02",76,-,"45,8","0,049","0,036","0,4","0,21","0,16",77,0
"Chou chinois (pak-choi ou pé-tsai), cuit","10,65","1,53","95,4","0,75","0,17","0,75",-,"1,35",-,"0,82",0,-,"0,029","0,016","0,069",0,0,0,0,"0,00098","0,00098","0,024","0,0025",-,-,-,-,0,0,0,"0,054","62,5",-,"0,024","0,67",-,"10,5","0,15",34,298,-,"21,5","0,18",0,2550,0,"0,09",34,-,"20,9","0,038","0,054","0,46","0,08","0,17",47,0
"Chou chinois ou pak-choi ou pé-tsai, cru","13,92","1,38","95,2","1,65","0,2","1,18",-,"1,05",-,"0,75",0,-,"0,031","0,017","0,09",0,0,0,0,"0,00099","0,00099","0,027","0,002","0,017","0,027","0,053",0,0,0,0,"0,13","86,4",-,"0,021","0,68","0,3","17,5","0,17","37,8",249,"0,29",51,"0,17",0,2680,0,"0,11","45,5",-,"40,3","0,04","0,065","0,48","0,092","0,19","73,6",0
"Chou de Bruxelles, appertisé, égoutté","31,41","2,56","88,9","4,1","0,53","2,5",-,"3,3",-,"1,2",0,-,"0,078","0,058","0,29",-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,"0,63","26,3",-,"0,03","0,7",1,"12,2","0,1",53,252,"1,5",222,"0,2",0,465,0,"0,69",-,-,18,-,-,-,-,-,-,0
"Chou de Bruxelles, cru","42,20","3,98",85,"5,67","0,4","2,2",1,"3,95",-,"1,27",0,-,"0,07","0,019","0,23",0,0,"0,002",0,0,0,"0,063","0,004","0,014","0,054","0,18",0,0,0,0,"0,041","32,3",-,"0,062","1,15","0,25","23,5","0,3","76,4",436,"1,1","16,5","0,43",0,450,0,"0,89",214,-,103,"0,13","0,13","0,77","0,52","0,25","95,5",0
"Chou de Bruxelles, cuit","28,19","2,6","87,6","4,2","0,11","1,7","1,5","3,2",-,"1,32",0,-,"0,023","0,0085","0,057",0,0,"0,00067",0,0,"0,00022","0,021","0,0011",-,-,-,-,0,0,0,"0,024","36,2",-,"< 0,1","< 0,1",< 10,"16,9","< 0,1",65,324,-,"9,7","< 0,1",0,209,0,"0,43",140,-,"56,4","< 0,05","0,06","0,72","0,27","0,06",113,0
"Chou de Bruxelles, surgelé, cru","34,77","3,45","86,3","4,5","0,33","2,35",-,"4,28",-,"0,89",0,-,"0,062","0,016","0,18",0,0,"0,0023",0,0,"0,00077","0,055","0,0035","0,014","0,042","0,14",0,0,0,0,"0,029",34,-,"0,043","0,82","0,25",22,"0,29","65,5",427,"1,1",14,"0,37",0,370,0,"0,34",250,-,"77,5","0,12","0,11","0,69","0,35","0,19","93,5",0
"Chou de Bruxelles, surgelé, cuit","34,95","3,64","86,7","4,22","0,39","2,08",-,"4,1",-,"0,91",0,-,"0,081","0,03","0,2",0,0,"0,002",0,0,"0,001","0,069","0,004",-,-,-,-,0,0,0,"0,038",26,-,"0,034","0,48",-,18,"0,21",56,290,-,15,"0,24",0,555,0,"0,51",194,-,"45,7","0,1","0,11","0,54","0,34","0,29",101,0
Chou farci,"88,60","5,3","81,2",2,"6,6",2,-,"3,13",0,"1,44",0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"0,87",145,-,"0,23",-,-,"41,4","0,65",-,-,"5,33",350,"0,8",-,-,-,-,-,-,-,-,-,-,-,-,-,-
"Chou frisé, cru","43,75","4,33","82,8","4,2","1,07","2,26",-,"4,9",-,"1,91",0,-,"0,12","0,043","0,54",0,0,0,0,"0,002","0,003","0,11","0,004",-,"0,14","0,4",0,0,0,0,"0,091",185,-,"0,8","1,74","1,4","33,5","0,58",83,378,"2,1","36,5","0,59",0,5930,0,"3,47",477,-,145,"0,13","0,21","1,9","0,55","0,31",101,0
"Chou frisé, cuit","25,72","1,9","91,2","3,63","0,4","1,25",-,2,-,"0,87",0,-,"0,052","0,03","0,19",0,0,0,0,"0,001","0,002","0,043","0,002",-,-,-,-,0,0,0,"0,058",72,-,"0,16","0,9",-,18,"0,42",28,228,-,23,"0,24",0,-,0,"0,85",817,-,41,"0,053","0,07","0,5","0,049","0,14",13,0
"Chou romanesco ou brocoli à pomme, cru","24,12","2,93","89,8","2,2","0,4","2,2",-,"2,35",-,"0,88",0,-,"0,047","0,028","0,13",0,0,0,0,0,0,"0,038","0,004",-,-,-,-,0,0,0,"0,039","34,5",-,"0,041","0,92",-,20,"0,25",62,300,-,"15,5","0,64",0,93,0,"0,04","20,2",-,"70,6","0,08","0,1","0,73","0,7","0,22",57,0
"Chou rouge, bouilli/cuit à l'eau","20,13","1,51","91,3","3,32","0,09","3,32",0,"2,6",-,"0,62",0,-,"0,011","0,007","0,043",0,0,0,0,0,0,"0,01",0,-,-,-,-,0,0,0,"0,044","54,6",-,"0,034","0,66","1,35","11,8","0,16",33,262,"< 2,97",28,"0,14",0,20,0,"0,12","47,6",-,"34,4","0,071","0,06","0,38","0,15","0,23",24,0
"Chou rouge, cru","24,98","1,34","90,7","4,5","0,18","3,49",0,"2,05",-,"0,67",0,-,"0,03","0,012","0,095",0,0,0,0,"0,00095","0,00095","0,027","0,0014","0,008","0,065","0,03",0,0,0,0,"0,047","44,8",-,"0,024","0,63","0,1",15,"0,22","32,1",268,1,"18,5","0,21",0,670,0,"0,09","93,6",-,"58,5","0,065","0,06","0,51","0,24","0,18",32,0
"Chou vert, cru","17,77","2,53","91,8","0,99","0,41","0,99",0,"3,08",-,"0,79",0,"0,44","0,054","0,014","0,076",0,0,0,0,"0,001","0,001","0,027","0,0025","0,013","0,036","0,039",0,0,0,0,"0,065","96,2",-,"0,049","0,93","0,3",18,"0,17","32,7",231,"1,86","25,8","0,22",0,321,0,"0,16",121,-,69,"0,059","0,039","0,26","0,17","0,15","67,9",0
"Chou vert, cuit","20,33","1,03","93,9","3,04","0,45","2,79","< 0,5","2,4",-,"0,41",0,-,"0,14","0,013","0,033",0,0,0,0,0,"0,0014","0,083","0,015","0,013","0,011","0,022",-,0,0,0,"0,098","69,7",61,"0,098","0,28","1,45","15,1","0,18",33,190,"3,56",39,"0,22",0,48,0,"0,14",109,-,"27,3","0,056","0,029","0,14","0,17","0,13",38,0
Choucroute garnie,"103,98","5,06","82,4","2,8","8,06","0,66",-,"2,71",0,"1,6",0,-,"3,22","3,45","0,96","< 0,05","< 0,05","< 0,05","0,0075","0,0075","0,1","1,86","0,98",-,"0,82","0,074",-,-,-,"34,7","1,39","27,1",633,"0,076","0,83","17,8",18,"0,067","60,6","97,5",< 10,552,"0,84",0,0,0,"0,25",-,-,"9,09","0,14","0,11","0,68",-,"0,02",10,-
"Choucroute, sans garniture, égouttée","26,37","0,7",91,"0,83","2,25","0,55",-,"3,7",0,"1,52",0,0,"1,15","0,03","0,13",-,-,-,-,-,-,-,-,-,"0,03","0,043",-,0,-,0,"1,15","36,9",-,"0,028","0,6","0,5","4,91","0,048",43,288,"< 2,2",470,"0,15",0,0,0,"0,2","25,1","4,8",10,"0,03","0,05","0,2",-,"0,15","10,3",-
"Choucroute, sans garniture, égouttée, cuite","64,92","1,38","85,6",0,"6,6","< 0,2","< 0,35","4,5","< 0,5","1,62",0,"0,53","2,02","3,12","1,08","< 0,01","< 0,01","< 0,01","< 0,01","< 0,01","0,06","1,35","0,58","2,81","0,97","0,1","< 0,01","< 0,01","< 0,01","8,44","1,26",43,731,"0,05","0,3",< 20,"6,8","0,09",15,83,< 20,505,"0,15",< 21,< 5,"< 0,25","0,4",31,-,"17,2","< 0,015","< 0,01","< 0,1","0,11","0,055","19,1","0,028"
"Chou-fleur, cru","18,07","1,77","92,9","2,05","0,31","1,56","0,3","2,13",-,"0,6",0,"0,22","0,088","0,03","0,097",0,0,0,"0,015",0,0,"0,067","0,0065","0,026","0,017","0,08",0,0,0,0,"0,0092","26,4",-,"0,033","0,41","0,8","11,9","0,16","46,1",293,"< 2,2","3,69","0,26",0,0,0,"0,14","15,8",-,"56,6","0,054","0,067","0,55","0,63","0,16",111,0
"Chou-fleur, cuit","16,94","1,6","93,7","1,6","0,46","1,59","< 0,5",2,"0,015","0,45",0,-,"0,097","0,032","0,22",0,0,0,0,"0,00028","0,00074","0,077","0,012","0,032","0,045","0,15",-,0,0,0,"0,017","19,2",< 61,"0,05","0,31",< 5,"12,9","0,12",34,238,< 10,< 39,"0,22",0,< 50,0,"0,07","13,8",-,"9,7","< 0,05","< 0,05","0,21","0,23","< 0,05","78,8",0
"Chou-fleur, surgelé, cru","21,69","1,95","92,5","2,64","0,37","1,91",-,"1,82",-,"0,52",0,-,"0,1","0,019","0,13",0,0,0,0,0,0,"0,036","0,005","0,019","0,029","0,099",0,0,0,0,"0,047","21,7",-,"0,031","0,51","0,3",12,"0,2","41,6",193,"0,8","20,3","0,17",0,7,0,"0,07","15,4",-,"51,9","0,051","0,07","0,43","0,14","0,12",64,0
"Chou-fleur, surgelé, cuit","12,62","1,61",94,"1,05","0,22","1,03",-,"2,7","0,017","0,42",0,-,"0,034","0,015","0,11",0,0,0,0,0,0,"0,03","0,004",-,-,-,-,0,0,0,"0,045",17,-,"0,024","0,41","0,1",9,"0,15",24,139,0,18,"0,13",0,6,0,"0,06","11,9",-,"31,3","0,037","0,053","0,31","0,098","0,088",41,0
Chouquette,"368,84","7,76","23,5","42,6","18,6","27,1","15,5","6,1",0,"1,4",0,0,"9,89","5,19","1,47","0,51","0,24","0,18","0,39","0,55","1,26","5,06","1,52","4,51","1,17","0,14","0,061","0,0065","0,017",191,"1,08",36,697,< 1,"1,6",< 10,"13,9",< 1,113,107,16,433,< 1,150,< 50,"< 0,2","2,4","24,5",-,0,"< 0,05","0,19","0,2","0,58","0,07","78,9","1,1"
"Chou-rave, bouilli/cuit à l'eau","25,79","1,8","90,3","4,4","0,11","2,8",-,"1,1",-,"1,1",0,-,"0,014","0,008","0,053",0,0,0,0,0,"0,001","0,012","0,001",-,-,-,-,0,0,0,"0,053",25,-,"0,13","0,4",-,19,"0,14",45,340,-,21,"0,31",0,21,0,"0,52","0,1",-,54,"0,04","0,02","0,39","0,16","0,15",12,0
"Chou-rave, cru","17,46","1,79",91,"2,35","0,1","2,35",-,"3,6",-,1,0,"0,16","0,013","0,007","0,049",0,0,0,0,0,0,"0,011","0,001","0,007","0,021","0,027",0,0,0,0,"0,05",24,-,"0,13","0,4","0,71",19,"0,14",46,350,"0,47",20,"0,03",0,22,0,"0,48","0,1",-,"55,1","0,05","0,02","0,4","0,17","0,15",16,0
"Ciboule ou Ciboulette, fraîche","23,56","2,62","90,9","2,1","0,52","1,75",0,"3,19",0,"0,85",0,0,"0,15","0,042","0,2",0,0,0,0,0,"0,0093","0,059","0,0055","0,017","0,083","0,12",0,0,0,0,"0,026","92,8",-,"0,1","1,31","2,2","23,8","0,85","46,3",275,"0,35","11,5","0,45",0,1610,0,"0,99",260,-,"39,7","0,065","0,12","0,57","0,19","0,12","78,3",0
Cidre aromatisé (framboise),"21,36",0,92,"5,34",0,"4,96",-,0,"0,38","0,26","1,36","0,48",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"0,008",16,17,"< 0,01","0,1",< 20,4,"0,05",5,110,< 20,"3,2","< 0,05",-,< 5,-,-,"< 0,8",-,"< 0,5","< 0,015","< 0,01","< 0,1","0,078","0,015",< 5,-
Cidre bouché demi-sec,"3,84",0,"93,9","0,96",0,"0,81",-,0,"0,15","0,28","3,71","0,63",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"0,007",17,32,"< 0,01","0,2",< 20,"3,4","0,04",7,120,< 20,"2,8","< 0,05",-,< 5,-,-,"< 0,8",-,"< 0,5","< 0,015","< 0,01","< 0,1","0,086","0,02",< 5,-
Cidre brut,"10,48",0,"93,9","2,62",0,"2,22",-,0,"0,39","0,29","3,72",-,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"0,01","3,24",-,"0,0033","0,84","0,7","2,92","0,024",3,"95,8","< 2,2","4,12","0,022",-,0,-,-,-,-,"14,1",-,-,-,-,-,-,-
Cidre doux,"20,36",0,"91,9","5,09",0,"4,61",-,0,"0,48","0,24","1,91","0,29",0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"0,0098",17,23,"< 0,01","0,1",< 20,"3,5","0,03",6,110,< 20,"3,9","< 0,05",-,< 5,-,-,"< 0,8",-,"< 0,5","< 0,015","< 0,01","< 0,1","0,064","< 0,01",< 5,-
Cidre traditionnel,"7,48",0,"94,2","1,87",0,"1,58",-,0,"0,28","0,29","3,64",-,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"0,013","8,95",-,"0,003","0,74","0,7","3,4","0,02",3,"95,8",0,"5,35","0,02",-,0,-,-,-,-,"14,1",-,-,-,-,-,-,-
Cigarette,"520,66","5,29","2,47",63,"27,5",38,25,1,-,"0,73",0,0,"17,5","7,45","2,1",-,-,-,-,-,-,-,-,-,-,"0,2",-,-,-,-,"0,28",-,455,-,-,-,-,-,-,163,-,111,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Citron givré ou Orange givrée (sorbet),"132,89","0,14",-,"29,1","1,77","24,4",-,0,0,"0,034",0,0,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"0,034",-,-,-,-,-,-,-,-,-,-,"13,6",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"Citron ou Lime, spécialité à diluer pour boissons, sans sucres ajoutés","5,24",0,"93,8","1,31",0,"0,91",-,0,0,"0,15",0,"4,5",0,0,0,"< 0,03",-,-,-,-,-,-,-,-,-,-,-,-,-,-,"0,0035","6,1","2,8","0,01","0,05",< 20,"3,2","< 0,01","4,7",44,< 20,"1,4","< 0,05",-,< 5,-,0,-,-,"5,56","0,27","< 0,01","< 0,1","0,025","< 0,01","6,44",-
"Citron vert ou Lime, pulpe, cru","12,52","0,66","89,1","2,02","0,2","1,69",-,"2,8",-,"0,3",0,"4,9","0,023","0,02","0,058",0,0,0,0,0,"0,001","0,021","0,001","0,018","0,038","0,02",0,0,0,0,"0,005",33,-,"0,065","0,6","0,8",6,"0,008",18,102,-,2,"0,11",0,30,0,"0,22","0,6",-,"29,1","0,03","0,02","0,2","0,22","0,043",8,0
"Citron, pulpe, cru","22,06","0,84",89,"3,1","0,7","2,85",0,"1,2",-,"0,3",0,"4,88","0,15","0,039","0,32",0,0,0,0,0,"0,0035","0,12","0,007","0,039","0,22","0,093",0,0,0,0,"0,003","13,7",-,"0,034","0,34","0,3","8,54","0,015","18,4",157,"2,09","0,99","0,054",0,3,0,"0,48",0,-,51,"0,043","0,025","0,15","0,21","0,07","21,5",0
"Citron, zeste, cru","29,98","1,42","81,6","5,4","0,3","4,17",-,"10,6",-,"0,6",0,-,"0,042","0,012","0,096",0,0,0,0,0,"0,001","0,038","0,002","0,011","0,067","0,028",0,0,0,0,"0,015",134,-,"0,092","0,9",-,15,-,12,160,7,6,"0,25",0,7,0,"0,25",0,-,129,"0,06","0,08","0,4","0,32","0,17",13,0
"Citrouille, pulpe, crue","28,90",1,"91,6",6,"0,1","2,76",-,"0,5",-,"0,8",0,-,"0,052","0,013","0,005",0,0,0,0,"0,001","0,006","0,037","0,003",-,-,-,-,0,0,0,"0,0025",21,-,"0,13","0,8",-,12,"0,13",44,340,-,1,"0,32",0,3100,0,"1,06","1,1",-,9,"0,05","0,11","0,6","0,3","0,061",16,0
"Clafoutis aux fruits, rayon frais","188,27","5,22","58,5","27,2","6,51","21,4","4,4","1,88",0,"0,7",0,0,"3,9","2,01","0,39","0,18","0,1","0,067","0,16","0,21","0,6","1,97","0,62","1,81","0,32","0,029","0,029","0,0058","0,012",68,"0,18",84,91,"0,069","0,57","11,9",15,"0,087","76,2",182,< 10,"76,7","0,39",56,"31,7","< 0,5","0,43",-,-,"< 0,5","0,043","0,15","0,32","0,49","0,1",23,"0,24"
"Clam, Praire ou Palourde, bouilli/cuit à l'eau","99,44","16,2","74,1","5,33","1,48",0,0,0,0,"2,97",0,0,"0,14","0,13","0,42",-,-,-,-,-,"0,02","0,092","0,027",-,-,-,-,"0,16","0,14","50,5","1,56","72,5",-,"0,5","9,67",80,"12,9","0,75",231,432,"51,8",625,"2,05",81,0,0,1,-,-,"22,1","0,11","0,29","2,03","0,47","0,13","20,1","39,5"
"Clam, Praire ou Palourde, cru","77,29","10,7","81,1","2,66","2,65",0,0,0,0,"2,1",0,0,"0,21","0,17","0,46",0,0,0,0,"0,004","0,008","0,11","0,05","0,054","0,027","0,015",-,"0,043","0,064",40,"0,82",46,-,"0,053","7,81",80,19,"0,085",168,180,-,329,"0,96",53,0,0,"0,68","0,2",-,13,"0,048","0,13","1,08","0,15","0,035","10,5","11,3"
"Clémentine, pulpe, crue","52,51","0,8","86,6","11,9","0,19","9,18",0,"1,7",-,"0,39",0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"< 0,83","0,0028","17,9",-,"0,035","0,09",13,"12,3","0,018",23,147,< 10,"1,11","0,059",-,58,0,"0,2",0,-,"18,7","0,09","< 0,05","0,15","0,2","0,05",10,-
Clou de girofle,"267,28","5,97","9,87","31,6",13,"2,38",-,"33,9",0,"5,63",0,0,"3,95","1,39","3,61",0,"0,009","0,026","0,13","0,035","0,26","1,86","0,68","0,78","2,56","0,59",-,"0,008",0,0,"0,69",632,-,"0,37","11,8",-,259,"60,1",104,1020,-,277,"2,32",0,45,0,"8,82",142,-,"0,2","0,16","0,22","1,56","0,51","0,39",25,0
